"filename","transSC","transCrest"
"S2L58C001.wav",848.934190485516,3.48424195671351
"S2L71C001.wav",859.47607604532,2.89358409277211
"S2R20C001.wav",874.875495577173,3.54523630214574
"S2L56C006.wav",876.607034668828,3.32282242899006
"S2R18C001.wav",883.76083768885,3.55217752173662
"S2L58C003.wav",887.433532967914,2.95920034746042
"S2R20C002.wav",893.751426260353,3.33484754328046
"S2R32C001.wav",900.402492059343,3.60175542131081
"S2L58C006.wav",901.80997435662,3.11313476989964
"S2L58C002.wav",901.906319793427,2.92438840350881
"S2L69C002.wav",905.864161413917,2.95398320993806
"S2L56C002.wav",907.077098412517,2.91482096059422
"S2L71C002.wav",907.938312866337,3.4054315516199
"S2L69C003.wav",908.190066526685,2.94839090406449
"S2L58C008.wav",911.919730901168,2.97406903901504
"S2L56C007.wav",915.169380094787,2.90388640879815
"S2L56C001.wav",916.851284414142,3.36057759359522
"S2L56C005.wav",921.088981423874,2.81454394315043
"S2R30C001.wav",921.905638101552,3.29339991042831
"S2L56C008.wav",923.011911967754,3.04079820015504
"S2R20C004.wav",923.355251962571,3.76878412211894
"S2R20C003.wav",925.394249381751,3.78750323583002
"S2L56C010.wav",925.65592281872,3.07907227284294
"S2L69C001.wav",926.60772127485,3.11643567779727
"S2L56C009.wav",927.21798623948,3.14911698625011
"S2L71C006.wav",931.077431778644,2.99826165597581
"S2L58C004.wav",935.903992108986,3.06508090660443
"S2R20C006.wav",936.223284035726,3.98694963236506
"S2L71C005.wav",936.604278071858,2.98899875604292
"S2L56C004.wav",937.873265490548,3.09614946912137
"S2R18C008.wav",941.418261364135,3.75925610240621
"S2L58C005.wav",941.750258222326,3.12390485009569
"S2L69C007.wav",942.003569288303,3.48103799506383
"S2L58C007.wav",942.062976141946,3.00539657754988
"S2R20C009.wav",943.829570549047,3.73079854735708
"S2L71C004.wav",944.409369206004,3.07471121702972
"S2R32C007.wav",944.840359061728,3.88353640092602
"S2R20C005.wav",946.542472146491,3.80130320622629
"S2L71C003.wav",948.752939755187,3.82659139092013
"S2R32C002.wav",956.031346109847,3.90908662578125
"S2L69C004.wav",956.128669199022,3.14541927764336
"S2R18C010.wav",957.030114269113,3.52190193855182
"S2R18C009.wav",957.762726738337,3.71697317186192
"S2R20C008.wav",961.437396208865,3.86942896942513
"S2R18C004.wav",963.16525696481,3.79352902629799
"S2L56C003.wav",963.762191763627,3.59038420248188
"S2R18C003.wav",964.253994935116,3.84100608866437
"S2R30C002.wav",968.677932561527,3.99218556516198
"S2L71C007.wav",968.806035753778,3.14135456621056
"S2R20C007.wav",971.630919166952,3.93434082251294
"S2L69C006.wav",972.518250156294,3.1147642182668
"S2R20C011.wav",980.301312678728,4.10130621471613
"S2L69C005.wav",988.786751256303,3.17902579847473
"S2R32C008.wav",991.626162688761,3.93100689306939
"S2R20C010.wav",1001.62948568596,4.17354469765764
"S2R32C006.wav",1004.46599223508,4.13078242677336
"S2R30C003.wav",1005.59260764916,4.09863009801905
"S2R18C006.wav",1005.66747621966,4.00510795543839
"S2R32C004.wav",1006.23377723124,4.06973215115106
"S2R32C005.wav",1012.27554062632,4.14756326055047
"S2R32C003.wav",1016.39946845335,4.17813171674745
"S2R30C004.wav",1018.21721137824,4.11140235065899
"S2R18C007.wav",1025.83185118036,4.18447622983908
"S2R18C005.wav",1025.93773896354,4.1329811211784
"S2R30C008.wav",1030.9095739637,4.08194744300942
"S2R30C007.wav",1036.60451668829,4.0794829583886
"S2R30C005.wav",1044.8574392338,4.22231845684767
"S2R30C006.wav",1050.61737521355,4.26691029582477
